group,registry,test,host_code,total_in0_reads,total_in1_reads
sweep_pattern,17,0,CDA,2,16
sweep_pattern,17,1,CDA,2,8
sweep_pattern,17,2,CDA,2,16
sweep_pattern,17,3,CDA,2,16
sweep_pattern,18,0,CDA,7,56
sweep_pattern,18,1,CDA,7,8
sweep_pattern,18,2,CDA,7,56
sweep_pattern,18,3,CDA,7,56
sweep_pattern,19,0,CDA,20,160
sweep_pattern,19,1,CDA,20,24
sweep_pattern,19,2,CDA,20,160
sweep_pattern,19,3,CDA,20,160
sweep_pattern,20,0,CDA,66,528
sweep_pattern,20,1,CDA,66,72
sweep_pattern,20,2,CDA,66,528
sweep_pattern,20,3,CDA,66,512
sweep_pattern,21,0,CDA,197,1576
sweep_pattern,21,1,CDA,197,200
sweep_pattern,21,2,CDA,197,1576
sweep_pattern,21,3,CDA,197,1544
sweep_pattern,23,0,CDA,1,8
sweep_pattern,23,1,CDA,1,8
sweep_pattern,23,2,CDA,1,8
sweep_pattern,23,3,CDA,1,8
sweep_pattern,24,0,CDA,3,24
sweep_pattern,24,1,CDA,3,8
sweep_pattern,24,2,CDA,3,24
sweep_pattern,24,3,CDA,3,24
sweep_pattern,25,0,CDA,10,80
sweep_pattern,25,1,CDA,10,16
sweep_pattern,25,2,CDA,10,80
sweep_pattern,25,3,CDA,10,80
sweep_pattern,26,0,CDA,33,264
sweep_pattern,26,1,CDA,33,40
sweep_pattern,26,2,CDA,33,264
sweep_pattern,26,3,CDA,33,264
sweep_pattern,27,0,CDA,98,784
sweep_pattern,27,1,CDA,98,104
sweep_pattern,27,2,CDA,98,784
sweep_pattern,27,3,CDA,98,760
sweep_pattern,28,0,CDA,164,1024
sweep_pattern,28,1,CDA,164,192
sweep_pattern,28,2,CDA,164,1312
sweep_pattern,28,3,CDA,164,1240
